fullAPCname,binomialAPCname,binomialPOWOname,POWOinfra,taxonRank
Olearia rudis F. Muell.,Olearia rudis,Muellerolaria rudis,,SPECIES
Bauhinia hookeri F. v. Müller,Bauhinia hookeri,Lysiphyllum hookeri,,SPECIES
Gomphrena celosioides Mart.,Gomphrena celosioides,Gomphrena serrata,,SPECIES
Drosera auriculata Backh. ex Planchon,Drosera auriculata,Drosera peltata,,SPECIES
Leucopogon ericoides (Smith) R. Br.,Leucopogon ericoides,Styphelia ericoides,,SPECIES
Sarcocornia quinqueflora (Bunge) Scott,Sarcocornia quinqueflora,Salicornia quinqueflora,,SPECIES
Myoporum acuminatum,Myoporum acuminatum,Myoporum tenuifolium,,SPECIES
Drosera auriculata,Drosera auriculata,Drosera peltata,,SPECIES
Drynaria rigidula,Drynaria rigidula,Aglaomorpha rigidula,,SPECIES
Leucopogon affinis,Leucopogon affinis,Leucopogon lanceolatus,,SPECIES
Disphyma crassifolium clavellatum,Disphyma crassifolium,Disphyma clavellatum,clavellatum,SUBSPECIES
Cassinia aureonitens,Cassinia aureonitens,Cassinia aureo-nitens,,SPECIES
Blechnum patersonii,Blechnum patersonii,Austroblechnum patersonii,,SPECIES
Stenanthemum leucophractum,Stenanthemum leucophractum,Cryptandra leucophracta,,SPECIES
Drosera collina,Drosera collina,Drosera erythrorhiza,,SPECIES
Senecio minimus,Senecio minimus,Erechtites minimus,,SPECIES
Billardiera floribunda,Billardiera floribunda,Marianthus floribundus,,SPECIES
Glochidion sumatranum,Glochidion sumatranum,Glochidion zeylanicum,,SPECIES
Eucalyptus pleurocarpa,Eucalyptus pleurocarpa,Eucalyptus tetragona,,SPECIES
Centella cordifolia,Centella cordifolia,Hydrocotyle jacksonii,,SPECIES
Arthropodium fimbriatum,Arthropodium fimbriatum,Dichopogon fimbriatus,,SPECIES
Leucopogon fletcheri fletcheri,Leucopogon fletcheri,Styphelia fletcheri,,SPECIES
Amyema mackayensis,Amyema mackayensis,Amyema mackayense,,SPECIES
Alstonia constricta,Alstonia constricta,Alstonia mollis,,SPECIES
Cyanicula sericea,Cyanicula sericea,Caladenia sericea,,SPECIES
Stylidium tenue,Stylidium tenue,Stylidium brunonianum,,SPECIES
Geranium gardneri,Geranium gardneri,Geranium solanderi,,SPECIES
Stylidium spinulosum,Stylidium spinulosum,Stylidium spathulatum,,SPECIES
Rostellularia adscendens,Rostellularia adscendens,Justicia adscendens,,SPECIES
