taxon_name,mean_fires,mean_fri,lwr_confint,upr_confint,dispersion_ratio,dispersion_p_value,num_unburnt_pixels,num_pixels,warnings,messages,error
Abelmoschus ficulneus,1.1403508771929824,18.11723076923077,16.592599560995495,19.950397311056538,4.512717433320449,3.571470436464676e-176,246,399,NA,NA,NA
Abelmoschus moschatus,5.572580645161289,3.7074384949348778,3.4501860215884284,4.006144280129488,4.213935265257139,5.928561040699729e-50,24,124,NA,NA,NA
Abrodictyum caudatum,0.29999999999999993,68.86666666666669,56.1571150697198,89.01197248705498,0.783132530120482,0.9952067131810552,178,250,NA,NA,NA
Abrotanella forsteroides,0.10738255033557045,192.39625000000004,129.12500000000003,377.24754901960796,0.8986486486486488,0.8062299579674085,133,149,NA,NA,NA
Abrotanella nivigena,0.5833333333333335,35.41714285714285,25.84428553124732,56.25386666426229,0.6443768996960485,0.9721923686812752,23,48,NA,NA,NA
Abutilon calliphyllum,0.09090909090909091,227.26,114.77777777777779,11363.000000000013,1.441860465116279,0.030292078810212546,41,44,NA,NA,NA
Abutilon fraseri,0.1838755304101838,112.35861538461542,95.87703055547469,135.68297654670803,1.6184135977337115,3.409379093902417e-23,619,707,NA,NA,NA
Abutilon fraseri subsp. diplotrichum,0.03636363636363636,568.15,238.125246256547,-1472.1608674555043,0.9814814814814817,0.5129713775275526,53,55,NA,NA,NA
Abutilon fraseri subsp. fraseri,0.5234374999999999,39.46985074626866,34.675975479387446,45.801853514964314,1.7547640388137649,3.7255155357411414e-18,259,384,NA,NA,NA
Abutilon halophilum,0.008169934640522875,2528.7840000000006,1347.5789607638958,20482.393414926733,0.9934533551554832,0.538078351858897,607,612,NA,NA,NA
Abutilon hannii,2.2866779089376057,9.034941002949852,8.578347366017933,9.542872751388428,3.521620625049828,4.377029341367346e-165,225,593,NA,NA,NA
Abutilon leucopetalum,0.34304207119741104,60.22584905660377,54.9914336547604,66.56158063699242,2.8857077381407072,2.7049822573622984e-224,1030,1236,NA,NA,NA
Abutilon malvifolium,0.08571428571428574,241.03333333333325,181.6834170854271,357.9702970297028,1.6404136833731096,2.4580665506403728e-15,395,420,NA,NA,NA
Abutilon otocarpum,0.48667079975201494,42.45169426751592,39.67613442137813,45.64479408684759,2.8998403692054815,3.306541132828228e-295,1230,1613,NA,NA,NA
Abutilon oxycarpum,0.1116883116883117,184.97906976744184,163.16822749144504,213.52055211665956,1.3913600541507518,9.878610065150905e-28,1756,1925,NA,NA,NA
Abutilon oxycarpum var. incanum,0.16216216216216214,127.40333333333335,70.77307724938989,637.5479012532052,1.5462962962962967,0.01924990116253953,33,37,NA,NA,NA
Abutilon oxycarpum var. oxycarpum,0.463768115942029,44.548125,35.7816265060241,59.004139072847686,1.9566605839416058,1.5773718457941114e-10,99,138,NA,NA,NA
Abutilon oxycarpum var. subsagittatum,0.15999999999999998,129.12500000000003,76.27152778318838,420.554174409963,1.112244897959184,0.273300257875185,43,50,NA,NA,NA
Acacia abbreviata,2.4571428571428573,8.40813953488372,6.941118601692872,10.661463727076919,1.1333789329685364,0.2718172826789446,7,35,NA,NA,NA
Acacia acanthoclada,0.1617647058823529,127.71636363636368,80.27617550989038,312.2361177399981,1.0352781546811398,0.39770216110390394,58,68,NA,NA,NA
Acacia acanthoclada subsp. acanthoclada,0.2114695340501792,97.69728813559323,77.83588475538862,131.16727704770938,0.9614681136446777,0.6670871947120769,224,279,NA,NA,NA
Acacia acinacea,0.09846281678437889,209.82540084388188,192.49581467563078,230.58389633240398,1.5558688187144347,1.5570378948802013e-121,4449,4814,NA,NA,NA
Acacia aciphylla,0.06666666666666668,309.8999999999999,104.69594594594594,-322.8125,0.9999999999999999,0.449711055848699,14,15,NA,NA,NA
Acacia acradenia,1.7593984962406015,11.742649572649572,10.933815814547472,12.680710631027056,2.300498217583644,8.745391693227566e-43,141,399,NA,NA,NA
Acacia aculeatissima,0.17755102040816323,116.36091954022992,103.77128786948796,132.42710191672944,1.0607184494886663,0.05201355229101445,1240,1470,NA,NA,NA
Acacia acuminata,0.15084525357607279,136.96155172413796,115.87453752158191,167.43085913172277,1.4027029454022992,9.348885063546277e-13,678,769,NA,NA,NA
Acacia adsurgens,1.441631504922644,14.33098536585366,13.504253422901431,15.265543701619116,0.9392016489178977,0.8753024612088821,168,711,NA,NA,NA
Acacia adunca,0.6249999999999999,33.056000000000004,26.78193512528472,43.168970579810946,1.0990990990990992,0.22374422901333033,63,112,NA,NA,NA
Acacia aemula subsp. muricata,0.2307692307692307,89.5266666666667,41.999621181014014,-680.2600774547767,0.8333333333333336,0.6159606548330627,10,13,NA,NA,NA
Acacia alata,0.19607843137254907,105.36599999999997,65.04851358064579,277.1377685705622,1.2279999999999998,0.12947557556430517,43,51,NA,NA,NA
Acacia alaticaulis,1.0769230769230766,19.184285714285718,12.589501522723626,40.288904525472965,0.5357142857142859,0.8929570850265018,2,13,NA,NA,NA
Acacia alleniana,3.4761904761904767,5.943287671232876,5.558802542872515,6.384912245084414,2.0482430017867777,9.966003340048042e-19,20,231,NA,NA,NA
Acacia alpina,1.284210526315789,16.08770491803279,14.29413233466405,18.395958871806357,0.42293347211380017,0.999999999999837,26,190,NA,NA,NA
Acacia ammobia,0.880597014925373,23.461355932203393,18.691771607924867,31.498951835829857,0.7750385208012328,0.9107030233812489,24,67,NA,NA,NA
Acacia amoena,0.45641025641025634,45.26629213483147,37.479555299305794,57.137065022353624,0.7045059654812926,0.9993695203061657,113,195,NA,NA,NA
