non_matching_taxa,matched_with_gbif,no_occurrences
Lolium remotum,Lolium remotum Schrank,9
Senecio leucoglossus,Senecio leucoglossus F.Muell.,74
Thysanotus anceps,Thysanotus anceps Lindl.,27
Acacia lanei,Acacia lanei R.S.Cowan & Maslin,45
Acacia sp. Gerang Gerung (M.G.Corrick 6451),NA,
Acmena smithii Small-leaved race,NA,
Adiantum hispidulum var. pubescens,NA,
Arachnorchis aestiva,Caladenia aestiva D.L.Jones,26
Babingtonia virgata,Sannantha virgata (J.R.Forst. & G.Forst.) Peter G.Wilson,635
Bertya tasmanica var. Typical variant (R.J.F.Henderson & G.Turpin H3277),NA,
Caladenia sp. 'south Gippsland',Caladenia orientalis (G.W.Carr) Hopper & A.P.Br.,208
Caladenia sp. 'St Andrews',NA,
Caladenia xantholeuca,Caladenia xantholeuca D.L.Jones,18
Caladenia argocalla,Caladenia argocalla D.L.Jones,228
Caladenia caerulea var. heliotropica,Caladenia caerulea var. heliotropica Rupp,0
Caladenia carnea var. exigua,Caladenia alata R.Br.,433
Caladenia cremna,Caladenia cremna (D.L.Jones) G.N.Backh.,7
Caladenia flavovirens,Caladenia flavovirens G.W.Carr,51
Caladenia holmesii,Caladenia alata R.Br.,433
Caladenia robinsonii,Caladenia robinsonii G.W.Carr,19
Caladenia sp. aff. fragrantissima (Central Vic),NA,
Caladenia sp. aff. iridescens (Chapple Vale),NA,
Caladenia sp. Kilsyth South (G.S.Lorimer 1253),NA,
Calochilus sp. 'Moondarra',NA,
Carex sp. Volcanic Lakes (V.Stajsic 3453),NA,
Chiloglottis sp. aff. valida 1,Chiloglottis jeanesii D.L.Jones,104
Chiloglottis sp. aff. valida 2,Chiloglottis jeanesii D.L.Jones,104
Chiloglottis dockrillii,Chiloglottis trilabra Fitzg.,350
Coprosma xtadgelii,NA,
Genoplesium tectum,Genoplesium tectum D.L.Jones,7
Corunastylis sp. aff. morrisii (Pyrete Ranges),Genoplesium morrisii (Nicholls) D.L.Jones & M.A.Clem.,553
Corybas globulus,Corybas globulus (D.L.Jones & L.M.Copel.) L.M.Copel. & D.L.Jones,1
Corybas sp. Wilsons Promontory,NA,
Cyrtostylis reniformis var. huegelii,Cyrtostylis reniformis var. huegelii (Endl.) Benth.,319
Dendrobium speciosum var. gracillimum,NA,
Deyeuxia ramosa,Deyeuxia ramosa C.M.Weiller & N.G.Walsh,4
Dillwynia sp. Pine Mountain (F.E.Davies 698),NA,
Dipodium pictum,Dipodium pictum (Lindl.) Rchb.f.,74
Diuris punctata var. longissima,Diuris punctata Sm.,2127
